ICAO_Code...1,Location_Name,Latitude,Longitude,Terr_code,ICAO Member State,ICAO_Code...7,...8,ICAO_Code...9,...10,...11,...12,...13,...14
LIPU,PADOVA,45.3961111111111,11.8480555555556,LI,Italy,LIPU,NA,HTLP,NA,NA,NA,NA,FAJARDO/DIEGO JIMENEZ TORRES PR.
LHKE,KECSKEMET,46.9175,19.7491666666667,LH,Hungary,LHKE,NA,HTLR,NA,NA,NA,NA,FAK FAK/TOREA
EGBT,TURWESTON,52.0408333333333,-1.09777777777778,EG,United Kingdom,EGBT,NA,HTLS,NA,NA,NA,NA,FAKAHINA
UMOO,MAHILIOU,53.9552777777778,30.0941666666667,UM,Belarus,UMOO,NA,HTLT,NA,NA,NA,NA,FAKARAVA
EEEI,AMARI MILITARY AERODROME,59.2622222222222,24.2186111111111,EE,Estonia,EEEI,NA,HTLU,NA,NA,NA,NA,FALADIE
GOGS,AEROPORT INTERNATIONAL DE CAP SKIRRING,12.3888888888889,-16.7416666666667,GO,Senegal,GOGS,NA,HTLW,NA,NA,NA,NA,FALAISE-MONT-D'ERAINES
KRIU,"RANCHO MURIETA,CA.",38.4867777777778,-121.102777777778,KR,United States,KRIU,NA,HTLY,NA,NA,NA,NA,FALCON FIELD AIRPORT
LIRE,PRATICA DI MARE (MIL),41.6593722222222,12.4451555555556,LI,Italy,LIRE,NA,HTMA,NA,NA,NA,NA,FALCON/TOLIMA
LEAP,AMPURIABRAVA (GIRONA),42.26,3.10972222222222,LE,Spain,LEAP,NA,HTMD,NA,NA,NA,NA,FALEOLO/INTL
LFDJ,PAMIERS-LES PUJOLS,43.0905555555556,1.69583333333333,LF,France,LFDJ,NA,HTMF,NA,NA,NA,NA,FALGUNANDA SUKILUMBA
KMLT,MILLINOCKET MUNI,45.6478333333333,-68.6855555555556,KM,United States,KMLT,NA,HTMG,NA,NA,NA,NA,FALKENBERG/LOENNEWITZ
LHUD,SZEGED,46.2508333333333,20.0891666666667,LH,Hungary,LHUD,NA,HTMH,NA,NA,NA,NA,FALKENBERG/MORUP
LFOA,AVORD,47.0569444444444,2.63888888888889,LF,France,LFOA,NA,HTMI,NA,NA,NA,NA,FALKOPING
LHPA,PAPA,47.3638888888889,17.5005555555556,LH,Hungary,LHPA,NA,HTMJ,NA,NA,NA,NA,FALLON MUNI
LOLS,SCHARDING-SUBEN,48.4030555555556,13.4480555555556,LO,Austria,LOLS,NA,HTMM,NA,NA,NA,NA,FALLON NAS (VAN VOORHIS FLD)
CYQN,"NAKINA,ON",50.1829972222222,-86.6974222222222,CY,Canada,CYQN,NA,HTMN,NA,NA,NA,NA,FALLS CREEK
EGBN,NOTTINGHAM,52.92,-1.07916666666667,EG,United Kingdom,EGBN,NA,HTMO,NA,NA,NA,NA,FALLS INTL-EINARSON FIELD
