1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,...16,reordonnés pour match fct,...18,...19,...20,...21,...22,...23,...24,...25,for tests
NA,NA,ICAO_TYPE_CODE,AC_CATEGORY,EQV_TYPE,EQV_NAME,ICAO_ENGINE_DESC,CO2_COEFF,MASS,BAND_FROM_NM,BAND_TO_NM,BAND_FLOOR_NM,FUEL_TOT,FUEL_TOT_MARG_RATE,CORR_FACTOR,range 0,BreakPoint_1,BreakPoint_2,range 99999,Slope_1,Slope_2,Slope_3,Intercept_1,Intercept_2,Intercept_3,NB_equations
NA,NA,A319,Jet <90T,AO SAMPLE,A319,J,3.15,67129,0,999999,0,NA,NA,1,0,220,1000,999999,6.7891470683641701,5.1528987105514199,5.3922756464398596,600.34291871364098,960.31755743244696,720.94062154400694,3
NA,NA,A320,Jet <90T,AO SAMPLE,A320,J,3.15,74244,0,999999,0,NA,NA,1,0,250,1000,999999,7.1476482357748496,5.4325642217164001,5.8663233398487504,615.85627588519799,1044.62727939981,610.86816126745703,3
NA,NA,A321,Jet <90T,AO SAMPLE,A321,J,3.15,86871,0,999999,0,NA,NA,1,0,300,1100,999999,6.5824265242103603,6.5307533510147602,6.4389526525369902,999.68781941113502,1015.1897713698201,1116.17053969536,3
NA,NA,A332,Heavy Jet,AO SAMPLE,A332,J,3.15,231792,0,999999,0,NA,NA,1,0,1000,999999,999999,10.414400551357099,12.24195532045,NA,2202.77309019426,375.21832110138502,NA,2
NA,NA,A333,Heavy Jet,AO SAMPLE,A333,J,3.15,232562,0,999999,0,NA,NA,1,0,900,3900,999999,11.2338197373606,12.8536650279006,10.892190826577201,2028.9296494718899,571.06888798587102,8220.8182731470697,3
NA,NA,A337,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,206137,0,999999,0,NA,NA,1,0,999999,NA,999999,11.468096858745,NA,NA,1323.34146137896,NA,NA,1
NA,NA,A338,Heavy Jet,AO EQV,A339,J,3.15,244415,0,999999,0,NA,NA,0.98960384102856502,0,2300,3800,999999,9.8301948455955603,13.174499122106001,11.4328661285815,2161.3587317931401,-5530.5411041809302,1087.6642712120799,3
NA,NA,A339,Heavy Jet,AO SAMPLE,A339,J,3.15,246983,0,999999,0,NA,NA,1,0,2300,3800,999999,9.8301948455955603,13.174499122106001,11.4328661285815,2161.3587317931401,-5530.5411041809302,1087.6642712120799,3
NA,NA,A342,Heavy Jet,AO EQV,A343,J,3.15,258445,0,999999,0,NA,NA,0.95962967235315999,0,1980,4700,999999,12.838518592159399,15.473505136082199,14.553521125004499,2388.6913348819699,-2828.5820220850701,1495.3428299799,3
NA,NA,A343,Heavy Jet,AO SAMPLE,A343,J,3.15,269317,0,999999,0,NA,NA,1,0,1980,4700,999999,12.838518592159399,15.473505136082199,14.553521125004499,2388.6913348819699,-2828.5820220850701,1495.3428299799,3
NA,NA,A345,Heavy Jet,AO EQV,A346,J,3.15,371320,0,999999,0,NA,NA,1.0062421655177001,0,3200,4000,999999,16.556132798402,22.397339047940601,17.914518358663301,3010.41971090384,-15681.4402876196,2249.8424694898299,3
NA,NA,A346,Heavy Jet,AO SAMPLE,A346,J,3.15,369016,0,999999,0,NA,NA,1,0,3200,4000,999999,16.556132798402,22.397339047940601,17.914518358663301,3010.41971090384,-15681.4402876196,2249.8424694898299,3
NA,NA,A359,Heavy Jet,AO SAMPLE,A359,J,3.15,275152,0,999999,0,NA,NA,1,0,960,4600,999999,9.9886136249789903,12.440326727274901,13.402678628736901,3044.5468152614499,690.90223705733297,-3735.9165096677498,3
NA,NA,A35K,Heavy Jet,AO EQV,A359,J,3.15,311121,0,999999,0,NA,NA,1.13072477224366,0,960,4600,999999,9.9886136249789903,12.440326727274901,13.402678628736901,3044.5468152614499,690.90223705733297,-3735.9165096677498,3
NA,NA,A388,Heavy Jet,AO SAMPLE,A388,J,3.15,549805,0,999999,0,NA,NA,1,0,2700,999999,999999,25.346376655526999,28.459118163237399,NA,4497.9004872607302,-3906.50158355741,NA,2
NA,NA,A3ST,Heavy Jet,AO EQV,A306,J,3.15,154860,0,999999,0,NA,NA,0.94906588088662802,0,350,1100,999999,12.1534071762349,11.589313784140501,13.510311625712101,1548.28011594139,1745.7128031744101,-367.38482255428403,3
NA,NA,A4,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,11045,0,999999,0,NA,NA,1,0,999999,NA,999999,1.3464624419286499,NA,NA,300.13702599884601,NA,NA,1
NA,NA,A400,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,138004,0,999999,0,NA,NA,1,0,999999,NA,999999,12.900061377431699,NA,NA,775.17634966299397,NA,NA,1
NA,NA,A5,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,605,0,999999,0,NA,NA,1,0,999999,NA,999999,0.45557257469267698,NA,NA,168.02394071656599,NA,NA,1
NA,NA,A50,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,169280,0,999999,0,NA,NA,1,0,999999,NA,999999,9.8013894642749904,NA,NA,1048.46390316819,NA,NA,1
NA,NA,A6,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,26654,0,999999,0,NA,NA,1,0,999999,NA,999999,2.6784758975285898,NA,NA,497.66582695243,NA,NA,1
NA,NA,A660,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,5782,0,999999,0,NA,NA,1,0,999999,NA,999999,0.91274754813900605,NA,NA,111.74169774182801,NA,NA,1
NA,NA,A7,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,19220,0,999999,0,NA,NA,1,0,999999,NA,999999,2.0440701684280902,NA,NA,403.58764593971199,NA,NA,1
NA,NA,A743,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,37845,0,999999,0,NA,NA,1,0,999999,NA,999999,3.6334211049482099,NA,NA,639.27789626370304,NA,NA,1
NA,NA,A748,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,20347,0,999999,0,NA,NA,1,0,999999,NA,999999,2.23316117816591,NA,NA,184.81963409218901,NA,NA,1
NA,NA,AA1,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,682,0,999999,0,NA,NA,1,0,999999,NA,999999,0.46214331413493498,NA,NA,168.99833799307299,NA,NA,1
NA,NA,AA5,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,1097,0,999999,0,NA,NA,1,0,999999,NA,999999,0.49753806736095202,NA,NA,174.24714620547499,NA,NA,1
NA,NA,AAT3,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,605,0,999999,0,NA,NA,1,0,999999,NA,999999,0.45557257469267698,NA,NA,168.02394071656599,NA,NA,1
NA,NA,AC11,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,1415,0,999999,0,NA,NA,1,0,999999,NA,999999,0.52467048504983005,NA,NA,178.27070460912699,NA,NA,1
NA,NA,AC50,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,3026,0,999999,0,NA,NA,1,0,999999,NA,999999,0.66220163128908904,NA,NA,198.665665558059,NA,NA,1
NA,NA,AC68,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,3861,0,999999,0,NA,NA,1,0,999999,NA,999999,0.73339867086189103,NA,NA,209.223716453968,NA,NA,1
