date,flight_iata,flight_icao,dep_iata,dep_icao,dep_scheduled,dep_actual,arr_iata,arr_icao,arr_scheduled,arr_actual,status,aircraft_icao24,aircraft_registration
2026-04-19,E2108,HFA108,LCA,LCLK,2026-04-18T20:00:00+00:00,2026-04-18T20:23:00+00:00,TLV,LLBG,2026-04-18T21:15:00+00:00,2026-04-18T21:14:00+00:00,landed,739604,
2026-04-19,E2107,HFA107,TLV,LLBG,2026-04-18T18:00:00+00:00,2026-04-18T17:55:00+00:00,LCA,LCLK,2026-04-18T19:15:00+00:00,2026-04-18T18:49:00+00:00,landed,739604,
2026-04-19,E2106,HFA106,LCA,LCLK,2026-04-18T12:00:00+00:00,2026-04-18T12:15:00+00:00,TLV,LLBG,2026-04-18T13:15:00+00:00,2026-04-18T13:15:00+00:00,landed,739604,
2026-04-19,E2105,HFA105,TLV,LLBG,2026-04-18T10:00:00+00:00,2026-04-18T10:08:00+00:00,LCA,LCLK,2026-04-18T11:15:00+00:00,2026-04-18T10:59:00+00:00,landed,739604,
