date,flight_iata,flight_icao,dep_iata,dep_icao,dep_scheduled,dep_actual,arr_iata,arr_icao,arr_scheduled,arr_actual,status,aircraft_icao24,aircraft_registration
2026-04-18,E2105,HFA105,TLV,LLBG,2026-04-18T10:00:00+00:00,2026-04-18T10:08:00+00:00,LCA,LCLK,2026-04-18T11:15:00+00:00,2026-04-18T10:59:00+00:00,landed,739604,
2026-04-18,E2108,HFA108,LCA,LCLK,2026-04-17T18:00:00+00:00,2026-04-17T18:32:00+00:00,TLV,LLBG,2026-04-17T19:15:00+00:00,2026-04-17T19:35:00+00:00,landed,739600,
2026-04-18,E2107,HFA107,TLV,LLBG,2026-04-17T16:00:00+00:00,2026-04-17T16:04:00+00:00,LCA,LCLK,2026-04-17T17:15:00+00:00,2026-04-17T16:58:00+00:00,landed,739600,
2026-04-18,E2214,HFA214,ATH,LGAV,2026-04-17T14:45:00+00:00,2026-04-17T15:16:00+00:00,TLV,LLBG,2026-04-17T17:45:00+00:00,2026-04-17T18:05:00+00:00,landed,739603,
2026-04-18,E2106,HFA106,LCA,LCLK,2026-04-17T14:00:00+00:00,2026-04-17T12:43:00+00:00,TLV,LLBG,2026-04-17T15:15:00+00:00,2026-04-17T13:40:00+00:00,landed,739600,
2026-04-18,E2105,HFA105,TLV,LLBG,2026-04-17T12:00:00+00:00,2026-04-17T10:11:00+00:00,LCA,LCLK,2026-04-17T13:15:00+00:00,2026-04-17T11:03:00+00:00,landed,739600,
